,Rank,Last Rank,Movie,Distributor,Gross,Change,Theatres,Per Theatre,Total Gross,Week
2,1,new,Dumbo,Walt Disney,58047489,,4259,"13,629",58047489,1
3,2,(1),Us,Universal,43968555,-54%,3743,"11,747",138582995,2
4,3,(2),Captain Marvel,Walt Disney,28145748,-40%,3985,"7,063",361451563,4
5,4,new,Unplanned,Pure Flix Entertain…,9267510,,1059,"8,751",9267510,1
6,5,(4),Five Feet Apart,Lionsgate,8265651,-31%,2846,"2,904",37891252,3
7,6,(3),Wonder Park,Paramount Pictures,6998726,-44%,3304,"2,118",39940513,3
8,7,(5),How to Train Your Dragon: T…,Universal,5973235,-37%,2785,"2,145",154707245,6
9,8,(37),Hotel Mumbai,Bleecker Street,4525621,"+3,819%",924,"4,898",4641100,2
10,9,(6),Tyler Perryâs A Madea Fam…,Lionsgate,3609631,-39%,1923,"1,877",70948801,5
11,10,new,The Beach Bum,Neon,2518330,,1100,"2,289",2518330,1
12,11,(7),Gloria Bell,A24,1574485,-34%,1127,"1,397",4641491,4
13,12,(8),No Manches Frida 2,Lionsgate,1184700,-49%,423,"2,801",8332127,3
14,13,(21),The Mustang,Focus Features,870516,+181%,181,"4,809",1274695,3
15,14,(9),The LEGO Movie 2: The Secon…,Warner Bros.,856296,-54%,801,"1,069",104908729,8
16,15,(10),Alita: Battle Angel,20th Century Fox,739993,-56%,676,"1,095",85146502,8
17,16,(12),Apollo 11,Neon,633132,-47%,354,"1,789",7884431,5
18,17,(16),The Upside,STX Entertainment,537148,-35%,456,"1,178",107647726,12
19,18,(32),The Aftermath,Fox Searchlight,481820,+189%,161,"2,993",728573,3
20,19,(14),Green Book,Universal,409675,-56%,447,916,84628211,20
21,20,(13),Isnât it Romantic,Warner Bros.,382082,-60%,460,831,48222126,8
22,21,(15),Fighting With My Family,United Artists,381113,-55%,503,758,22640632,8
23,22,(17),What Men Want,Paramount Pictures,304880,-34%,309,987,54508659,8
24,23,new,Khalid: Free Spirit,Trafalgar Releasing,284229,,382,744,284229,1
25,24,(20),Aquaman,Warner Bros.,190743,-41%,214,891,335061807,15
26,25,(38),The Hummingbird Project,The Orchard,189147,+97%,232,815,330096,3
27,26,(11),Captive State,Focus Features,168905,-89%,404,418,5958315,3
28,27,(23),Glass,Universal,133185,-54%,157,848,111035005,11
29,28,(24),Happy Death Day 2U,Universal,128985,-52%,174,741,28051045,8
30,29,(36),Woman at War,Magnolia Pictures,121989,+5%,66,"1,848",393446,5
31,30,(27),Bohemian Rhapsody,20th Century Fox,116441,-49%,101,"1,153",216141246,22
32,31,(33),Transit,Music Box Films,113582,-30%,64,"1,775",551443,5
33,32,(31),Cold Pursuit,Lionsgate,100663,-43%,142,709,31982385,8
34,33,(26),More Than Blue,China Lion Film Dis…,99167,-62%,38,"2,610",691746,3
35,34,(40),Escape Room,Sony Pictures,81201,-8%,68,"1,194",56811219,13
36,35,(25),Run the Race,Roadside Attractions,79019,-70%,136,581,6369475,6
37,36,(35),Mary Poppins Returns,Walt Disney,68015,-45%,84,810,171930087,16
38,37,(28),The Kid,Lionsgate,67254,-65%,77,873,1473969,4
39,38,(52),Money,CJ Entertainment,61216,+64%,11,"5,565",98559,3
40,39,(47),Never Look Away,Sony Pictures Classics,55324,-21%,26,"2,128",1157122,18
41,40,(34),Ralph Breaks The Internet,Walt Disney,53078,-62%,92,577,201061421,20
42,41,(30),Everybody Knows,Focus Features,52085,-71%,50,"1,042",2660165,8
43,42,(43),Arctic,Bleecker Street,48124,-41%,49,982,2329506,9
44,43,(46),The Favourite,Fox Searchlight,47196,-38%,64,737,34220619,19
45,44,(42),They Shall Not Grow Old,Warner Bros.,45268,-48%,58,780,17730690,16
46,45,(59),CatVideoFest,Oscilloscope Pictures,38171,+102%,15,"2,545",404291,7
47,46,new,Diane,IFC Films,33406,,3,"11,135",33406,1
48,47,(44),Climax,A24,29981,-63%,21,"1,428",796705,5
49,48,(29),Greta,Focus Features,28030,-85%,77,364,10519425,5
50,49,(53),Capernaum,Sony Pictures Classics,27705,-23%,15,"1,847",1603292,16
51,50,new,The Brink,Magnolia Pictures,26297,,4,"6,574",26297,1
52,51,(49),Stan & Ollie,Sony Pictures Classics,25738,-52%,46,560,5438610,14
53,52,(45),Free Solo,Greenwich,24976,-67%,30,833,17491530,27
54,53,(39),The Wedding Guest,IFC Films,24203,-74%,44,550,380311,5
55,54,(56),Sunset,Sony Pictures Classics,22836,+5%,10,"2,284",44486,2
56,55,(58),The Invisibles,Greenwich,21000,+6%,8,"2,625",347445,10
57,56,(41),A Star is Born,Warner Bros.,19587,-78%,55,356,215288866,26
58,57,(48),Birds of Passage,The Orchard,18018,-74%,29,621,484160,8
59,58,(51),The Prodigy,Orion Pictures,16287,-57%,25,651,14852586,8
60,59,(63),Cold War,Amazon Studios,15416,-6%,17,907,4580048,15
61,60,(54),If Beale Street Could Talk,Annapurna Pictures,15112,-48%,18,840,14908550,16
62,61,(74),The Wife,Sony Pictures Classics,14547,+281%,9,"1,616",9596718,33
63,62,new,The Chaperone,PBS Distribution,13678,,2,"6,839",13678,1
64,63,new,Screwball,Greenwich,11943,,13,919,11943,1
65,64,(77),3 Faces,Kino Lorber,11403,+394%,6,"1,901",45995,4
66,65,(78),Working Woman,Zeitgeist,11028,+380%,2,"5,514",11028,2
67,66,(65),Shoplifters,Magnolia Pictures,10460,-18%,7,"1,494",3287507,19
68,67,(-),Extreme Job,CJ Entertainment,8226,,2,"4,113",1565885,10
69,68,(57),Vice,Annapurna Pictures,6982,-67%,17,411,47834211,15
70,69,(64),The Kid Who Would Be King,20th Century Fox,6631,-57%,25,265,16790790,10
71,70,(-),War and Peace (1968) (Re-Re…,Janus Films,5766,,2,"2,883",52052,"2,658"
72,71,new,Zen for Nothing,Zeitgeist,5432,,3,"1,811",5432,1
73,72,(55),Furie,Well Go USA,4991,-80%,3,"1,664",593445,5
74,73,(67),Styx,Film Movement,4975,-44%,5,995,55889,6
75,74,(61),"Ruben Brandt, Collector",Sony Pictures Classics,4270,-75%,12,356,109555,7
76,75,(69),Knife + Heart,Altered Innocence,4263,-50%,2,"2,132",19219,3
77,76,(-),Relaxer,Oscilloscope Pictures,3195,,5,639,3195,2
78,77,(82),Who Will Write Our History,Abramorama Films,3098,+125%,1,"3,098",120673,11
79,78,(92),The Heiresses,Distrib Films,3010,+519%,2,"1,505",68063,12
80,79,(70),Ramen Shop,Strand,2965,-65%,1,"2,965",11407,2
81,80,(86),What is Democracy,Zeitgeist,2536,+92%,4,634,42758,12
82,81,(84),Babylon (1980),Self Distributed,2211,+66%,4,553,60503,4
83,82,(75),Off Season,Indican Pictures,1735,-45%,1,"1,735",8509,3
84,83,(80),The World Before Your Feet,Greenwich,1646,-5%,1,"1,646",267335,20
85,84,(62),The Iron Orchard,Santa Rita Film Co,1611,-90%,6,269,204881,6
86,85,(-),Un Traductor,Film Movement,1601,,1,"1,601",13509,24
87,86,(-),Combat Obscura,Oscilloscope Pictures,1553,,2,777,14242,3
88,87,(73),Police Story/Police Story 2…,Janus Films,1539,-65%,1,"1,539",101775,9
89,88,(71),The Sower,Film Movement,1269,-74%,1,"1,269",28173,5
90,89,(87),Ferrante Fever,Greenwich,1235,+2%,1,"1,235",7866,4
91,90,(91),The Image Book,Kino Lorber,1214,+66%,2,607,93493,10
92,91,(76),The Last Resort,Kino Lorber,1205,-54%,4,301,152658,15
93,92,(83),This Magnificent Cake!,GKIDS,1062,-22%,2,531,5919,5
94,93,(93),The Gospel of Eureka,Kino Lorber,928,+136%,1,928,20039,8
95,94,(90),Virginia Minnesota,Indican Pictures,735,-7%,1,735,14187,5
96,95,(72),The Eyes of Orson Welles,Janus Films,648,-86%,1,648,9713,3
